iter	RMSE
0	14.89706521
1	14.49769228
2	14.11798455
3	13.75431215
4	13.39382876
5	13.04471806
6	12.73392819
7	12.45240285
8	12.17660695
9	11.87468302
10	11.62169034
11	11.39682271
12	11.16995245
13	10.92952514
14	10.69864118
15	10.48358493
16	10.26646047
17	10.06354585
18	9.883723732
19	9.708186882
20	9.536039567
21	9.383809453
22	9.224485223
23	9.086440067
24	8.939963656
25	8.777924297
26	8.634979237
27	8.508302431
28	8.405444008
29	8.277646978
30	8.150631931
31	8.024814296
32	7.917173178
33	7.801684741
34	7.707134015
35	7.604821135
36	7.510881519
37	7.427904847
38	7.352338603
39	7.269701149
40	7.181856171
41	7.097890752
42	7.019351704
43	6.954997896
44	6.88898676
45	6.826893695
46	6.759786775
47	6.698380853
48	6.647739244
49	6.602544316
50	6.551755694
51	6.502350232
52	6.454329709
53	6.401500372
54	6.363265412
55	6.318304327
56	6.283242982
57	6.243070712
58	6.198374837
59	6.167181194
60	6.123394111
61	6.088221484
62	6.055108373
63	6.02786299
64	5.999390982
65	5.965099754
66	5.934435176
67	5.915582237
68	5.88496668
69	5.858154765
70	5.834188975
71	5.811465232
72	5.787336676
73	5.768644883
74	5.7459864
75	5.725907473
76	5.703253232
77	5.682521067
78	5.662099833
79	5.646271528
80	5.630484798
81	5.618401281
82	5.594874226
83	5.580852864
84	5.565320453
85	5.545299165
86	5.529045797
87	5.514787689
88	5.498984933
89	5.485931606
90	5.473735131
91	5.461167282
92	5.452999032
93	5.444108939
94	5.432577253
95	5.419264005
96	5.409993449
97	5.402099287
98	5.393355976
99	5.381567334
100	5.370653657
101	5.356484364
102	5.345426922
103	5.335465096
104	5.325940837
105	5.31305268
106	5.304567759
107	5.297930696
108	5.291069125
109	5.28243076
110	5.273114395
111	5.264192373
112	5.255938727
113	5.248671135
114	5.240722115
115	5.233259674
116	5.225922
117	5.218785994
118	5.209875924
119	5.203198063
120	5.19895378
121	5.190532034
122	5.184179453
123	5.17820985
124	5.171604962
125	5.164286083
126	5.157947018
127	5.149360644
128	5.141042277
129	5.13477152
130	5.127667882
131	5.120048571
132	5.115387874
133	5.112722725
134	5.107717841
135	5.10316051
136	5.099636189
137	5.09547725
138	5.091438355
139	5.088024611
140	5.083904347
141	5.076870114
142	5.071942165
143	5.066883108
144	5.063338825
145	5.05988043
146	5.056393564
147	5.051922281
148	5.044456031
149	5.041173072
150	5.036575052
151	5.03243699
152	5.029325638
153	5.024725162
154	5.021379906
155	5.014939856
156	5.012991543
157	5.009313172
158	5.006301232
159	5.003094986
160	4.996580022
161	4.993406612
162	4.990016387
163	4.986913911
164	4.985434942
165	4.981826825
166	4.976289118
167	4.971564582
168	4.969150154
169	4.966538595
170	4.963036726
171	4.961304457
172	4.957091235
173	4.951753376
174	4.947620067
175	4.944708412
176	4.938490565
177	4.934134596
178	4.930051454
179	4.925391046
180	4.921568698
181	4.920223031
182	4.919316411
183	4.918573843
184	4.91670686
185	4.915840107
186	4.912951324
187	4.910182376
188	4.907582786
189	4.905446508
190	4.899643872
191	4.897005038
192	4.893279076
193	4.890494256
194	4.88397233
195	4.88152967
196	4.877965525
197	4.871627992
198	4.866422404
199	4.863077604
200	4.859665054
201	4.856691181
202	4.8524916
203	4.850238739
204	4.84928061
205	4.847668407
206	4.841843889
207	4.83532585
208	4.832381832
209	4.82526847
210	4.822064946
211	4.818210375
212	4.80913806
213	4.803006884
214	4.798892178
215	4.794068912
216	4.793945712
217	4.790834668
218	4.785747928
219	4.783466517
220	4.781886256
221	4.778094817
222	4.775743651
223	4.773497133
224	4.769010902
225	4.765867891
226	4.762683948
227	4.761271048
228	4.757379028
229	4.755807538
230	4.752180343
231	4.746346833
232	4.743574431
233	4.741944048
234	4.737383564
235	4.734514936
236	4.730171411
237	4.727896149
238	4.722946535
239	4.718537276
240	4.717030427
241	4.712429418
242	4.709565212
243	4.706822125
244	4.702614885
245	4.70059457
246	4.697057798
247	4.691961351
248	4.687945269
249	4.683529206
250	4.680889607
251	4.679122051
252	4.675361413
253	4.67288508
254	4.66957959
255	4.6644098
256	4.663805717
257	4.662449891
258	4.658577998
259	4.656164745
260	4.650915799
261	4.649113732
262	4.646707975
263	4.643864414
264	4.640158364
265	4.638786858
266	4.634515524
267	4.628215691
268	4.625514237
269	4.620382446
270	4.616446739
271	4.612869156
272	4.608288193
273	4.604694941
274	4.602704619
275	4.597404548
276	4.596116555
277	4.594541949
278	4.593303359
279	4.589862713
280	4.589192763
281	4.582611893
282	4.580737451
283	4.578543255
284	4.575604794
285	4.570746193
286	4.564844433
287	4.563655834
288	4.558219191
289	4.551160759
290	4.547282202
291	4.544120337
292	4.538683834
293	4.532528772
294	4.527754658
295	4.525867401
296	4.520160904
297	4.515540633
298	4.513990475
299	4.511170456
300	4.509650562
301	4.505357422
302	4.500005543
303	4.495098991
304	4.492429808
305	4.487169459
306	4.484007509
307	4.481951311
308	4.480833178
309	4.476897065
310	4.474596182
311	4.47394781
312	4.469864863
313	4.466947748
314	4.46545164
315	4.463705299
316	4.46075928
317	4.459209121
318	4.455222572
319	4.453261754
320	4.450923188
321	4.449304856
322	4.446811408
323	4.443471552
324	4.44148933
325	4.439166182
326	4.437411338
327	4.433128239
